Hour,Electric Load (kW)
1,1.749
2,1.995
3,2.134
4,2.121
5,1.177
6,0.852
7,0.716
8,0.739
9,1.052
10,2.186
11,4.307
12,4.066
13,2.245
14,0.82
15,0.926
16,1.144
17,1.312
18,2.74
19,2.0
20,2.027
21,2.339
22,2.779
23,2.651
24,1.767
25,1.998
26,2.133
27,1.54
28,0.888
29,0.903
30,0.863
31,0.974
32,0.874
33,1.283
34,1.712
35,1.898
36,2.934
37,2.03
38,1.319
39,1.709
40,1.836
41,2.043
42,3.753
43,2.107
44,1.783
45,1.683
46,1.584
47,1.738
48,0.753
49,0.843
50,0.882
51,0.882
52,0.839
53,0.826
54,0.819
55,0.953
56,1.541
57,0.896
58,0.726
59,0.471
60,0.502
61,0.705
62,1.346
63,2.099
64,0.789
65,0.816
66,2.289
67,1.802
68,1.924
69,1.461
70,0.986
71,0.433
72,0.691
73,0.829
74,0.812
75,0.823
76,0.777
77,0.278
78,0.502
79,0.871
80,1.085
81,1.393
82,0.902
83,0.631
84,0.472
85,0.462
86,0.598
87,0.703
88,0.787
89,0.855
90,2.112
91,1.715
92,1.6
93,1.224
94,1.162
95,1.177
96,0.365
97,0.343
98,0.569
99,0.745
100,0.777
101,0.743
102,0.724
103,0.691
104,1.674
105,1.502
106,1.103
107,0.914
108,0.835
109,0.715
110,0.517
111,0.534
112,0.533
113,0.702
114,2.694
115,1.941
116,2.337
117,2.338
118,1.623
119,1.14
120,0.412
121,0.274
122,0.56
123,0.832
124,0.783
125,0.699
126,0.687
127,0.742
128,1.579
129,1.097
130,4.501
131,0.745
132,0.535
133,0.496
134,0.507
135,0.558
136,0.585
137,2.071
138,3.29
139,2.157
140,2.102
141,2.04
142,1.769
143,1.049
144,0.402
145,0.269
146,0.449
147,0.652
148,0.681
149,0.711
150,0.637
151,0.773
152,0.741
153,1.311
154,1.535
155,1.051
156,0.381
157,1.186
158,0.755
159,0.697
160,0.681
161,0.705
162,1.416
163,3.575
164,3.223
165,3.507
166,1.052
167,0.903
168,0.476
169,0.315
170,0.569
171,0.673
172,0.748
173,0.718
174,0.693
175,0.695
176,0.825
177,0.759
178,1.05
179,0.476
180,0.446
181,0.277
182,0.271
183,0.258
184,0.79
185,1.547
186,3.277
187,1.571
188,1.599
189,1.669
190,1.899
191,1.041
192,0.828
193,0.816
194,0.764
195,0.704
196,0.708
197,0.747
198,0.727
199,1.066
200,1.643
201,0.719
202,0.468
203,0.387
204,0.451
205,0.934
206,0.603
207,0.574
208,0.646
209,1.959
210,2.29
211,1.517
212,1.325
213,1.199
214,1.286
215,0.93
216,0.479
217,0.326
218,0.371
219,0.57
220,0.682
221,0.745
222,0.684
223,1.136
224,1.626
225,0.565
226,0.497
227,0.405
228,0.485
229,0.347
230,0.403
231,0.399
232,0.511
233,0.605
234,3.037
235,1.966
236,1.949
237,1.248
238,0.988
239,0.407
240,0.439
241,0.638
242,0.642
243,0.643
244,0.621
245,0.586
246,0.606
247,0.62
248,1.609
249,1.546
250,0.899
251,0.883
252,0.637
253,0.649
254,0.739
255,0.842
256,0.69
257,0.844
258,1.67
259,1.608
260,1.868
261,1.907
262,1.492
263,1.125
264,0.607
265,0.692
266,0.74
267,0.781
268,0.741
269,0.749
270,0.726
271,0.923
272,1.701
273,0.928
274,0.784
275,0.662
276,0.505
277,0.396
278,0.401
279,0.551
280,0.614
281,0.874
282,1.696
283,1.948
284,1.497
285,1.207
286,1.212
287,1.26
288,0.863
289,0.394
290,0.623
291,0.827
292,0.904
293,0.96
294,0.757
295,0.946
296,1.064
297,0.95
298,3.553
299,1.597
300,0.295
301,0.287
302,0.307
303,0.865
304,3.724
305,0.676
306,1.393
307,1.718
308,1.226
309,1.069
310,0.882
311,0.532
312,0.414
313,0.54
314,0.643
315,0.695
316,0.631
317,0.656
318,0.61
319,0.726
320,1.2
321,3.969
322,1.917
323,1.956
324,0.51
325,0.281
326,0.341
327,0.35
328,0.451
329,1.283
330,1.462
331,2.272
332,1.498
333,1.085
334,1.279
335,0.913
336,0.408
337,0.622
338,0.647
339,0.722
340,0.65
341,0.706
342,0.703
343,0.811
344,0.675
345,1.602
346,1.835
347,0.412
348,3.31
349,0.685
350,0.91
351,0.733
352,0.736
353,1.64
354,3.003
355,1.78
356,1.558
357,0.902
358,1.112
359,0.882
360,0.359
361,0.316
362,0.591
363,0.768
364,0.83
365,0.809
366,0.816
367,0.884
368,1.226
369,1.968
370,1.838
371,1.49
372,1.014
373,0.374
374,0.356
375,0.823
376,1.203
377,1.752
378,2.194
379,1.577
380,0.951
381,1.003
382,0.82
383,0.67
384,0.657
385,0.765
386,0.821
387,0.828
388,0.778
389,0.813
390,0.796
391,1.027
392,1.518
393,0.413
394,0.495
395,0.616
396,0.598
397,0.635
398,0.627
399,0.756
400,1.006
401,1.128
402,1.82
403,2.326
404,1.581
405,1.036
406,0.958
407,0.91
408,0.502
409,0.783
410,0.893
411,0.85
412,0.797
413,0.812
414,0.772
415,0.764
416,1.385
417,1.7
418,1.696
419,1.609
420,1.666
421,1.747
422,1.134
423,1.256
424,1.123
425,1.898
426,2.067
427,2.075
428,1.772
429,1.148
430,1.35
431,1.224
432,0.361
433,0.336
434,0.731
435,1.001
436,0.938
437,0.949
438,0.862
439,0.989
440,1.489
441,1.654
442,1.399
443,0.941
444,0.512
445,0.636
446,0.748
447,0.788
448,2.194
449,4.234
450,3.58
451,1.592
452,1.477
453,1.019
454,1.099
455,1.087
456,0.376
457,0.596
458,0.801
459,0.889
460,0.852
461,0.831
462,0.837
463,1.332
464,2.086
465,1.71
466,1.099
467,0.756
468,0.295
469,0.483
470,0.746
471,1.067
472,1.074
473,0.967
474,1.598
475,2.661
476,5.433
477,1.652
478,1.066
479,1.37
480,1.188
481,0.378
482,0.415
483,0.727
484,0.908
485,0.939
486,0.9
487,0.994
488,1.729
489,1.682
490,1.823
491,2.530999
492,1.702
493,1.242
494,1.535
495,1.606
496,1.761
497,1.169
498,1.43
499,1.876
500,1.94
501,1.791
502,1.331
503,0.815
504,0.444
505,0.686
506,0.899
507,0.917
508,0.985
509,0.896
510,0.898
511,0.865
512,1.576
513,1.961
514,1.291
515,1.213
516,2.132
517,1.17
518,1.171
519,0.986
520,1.249
521,1.576
522,2.591
523,1.832
524,1.604
525,1.309
526,0.846
527,0.35
528,0.558
529,0.779
530,0.884
531,0.872
532,0.824
533,0.779
534,0.777
535,0.913
536,1.748
537,1.343
538,0.826
539,0.633
540,0.47
541,0.407
542,0.639
543,1.118
544,0.971
545,1.351
546,2.155
547,1.612
548,1.656
549,1.771
550,1.219
551,0.727
552,0.33
553,0.523
554,0.732
555,0.884
556,0.844
557,0.819
558,0.803
559,1.207
560,1.717
561,0.985
562,1.143
563,0.894
564,0.862
565,1.042
566,0.557
567,0.62
568,0.626
569,1.233
570,2.074
571,2.009
572,1.779
573,1.205
574,1.012
575,0.528
576,0.539
577,0.81
578,0.934
579,0.96
580,0.862
581,0.872
582,0.844
583,1.315
584,1.694
585,0.751
586,1.012
587,1.079
588,0.612
589,0.57
590,0.551
591,0.629
592,0.677
593,0.739
594,3.126
595,1.828
596,1.981
597,1.631
598,1.624
599,1.145
600,0.586
601,0.369
602,0.696
603,1.015
604,0.987
605,0.929
606,0.857
607,1.057
608,1.719
609,1.249
610,1.076
611,0.746
612,0.775
613,0.54
614,0.71
615,0.866
616,0.916
617,0.982
618,1.471
619,1.94
620,1.783
621,1.32
622,1.067
623,0.59
624,0.458
625,0.668
626,0.849
627,0.806
628,0.796
629,0.74
630,0.728
631,1.004
632,1.837
633,1.263
634,3.424
635,0.959
636,3.511
637,0.863
638,0.344
639,0.475
640,0.607
641,0.691
642,1.278
643,1.934
644,1.604
645,0.709
646,0.772
647,0.867
648,0.875
649,0.786
650,0.759
651,0.724
652,0.733
653,0.735
654,0.747
655,0.93
656,1.531
657,1.803
658,2.413
659,1.608
660,0.567
661,0.373
662,0.905
663,1.428
664,1.619
665,4.481
666,2.565
667,2.238
668,1.287
669,3.835
670,1.141
671,1.122
672,1.025
673,0.947
674,1.008
675,0.996
676,0.992
677,0.994
678,1.019
679,0.982
680,1.491
681,2.087
682,1.911
683,1.903
684,2.573
685,1.749
686,2.069
687,2.967
688,3.326
689,2.795
690,3.922999
691,3.019
692,2.202
693,1.556
694,1.273
695,0.937
696,0.439
697,0.844
698,0.982
699,0.972
700,0.981
701,0.976
702,0.965
703,0.971
704,1.723
705,1.752
706,1.175
707,1.062
708,0.613
709,0.706
710,0.782
711,0.78
712,0.971
713,1.605
714,2.592
715,1.904
716,2.145
717,1.381
718,1.288
719,0.922
720,0.647
721,0.81
722,0.932
723,0.912
724,0.858
725,0.972
726,0.973
727,1.353
728,2.182
729,1.702
730,1.477
731,1.099
732,1.013
733,0.924
734,0.869
735,0.944
736,1.187
737,1.017
738,2.275
739,2.302
740,1.242
741,1.052
742,1.156
743,0.937
744,0.599
745,0.881
746,0.849
747,0.834
748,0.793
749,0.773
750,0.765
751,1.149
752,2.049
753,0.949
754,0.949
755,0.858
756,0.743
757,0.387
758,0.471
759,0.544
760,0.641
761,0.614
762,0.733
763,1.522
764,1.678
765,1.429
766,1.261
767,1.169
768,0.922
769,0.681
770,0.823
771,0.938
772,1.103
773,0.92
774,1.134
775,0.974
776,2.004
777,1.424
778,1.35
779,1.35
780,0.92
781,1.0153861095107455
782,1.0153861095107455
783,1.0153861095107455
784,1.0153861095107455
785,0.913
786,1.529
787,1.535
788,1.254
789,1.208
790,1.318
791,0.882
792,0.874
793,0.996
794,1.001
795,0.948
796,0.897
797,0.895
798,0.937
799,0.972
800,1.702
801,1.191
802,0.455
803,0.417
804,0.365
805,0.325
806,0.335
807,0.382
808,0.554
809,0.527
810,1.107
811,1.094
812,1.046
813,1.064
814,0.552
815,0.481
816,0.617
817,0.703
818,0.73
819,0.739
820,0.657
821,0.68
822,0.809
823,0.98
824,1.231
825,1.855
826,4.145
827,3.685
828,1.05
829,1.423
830,0.997
831,0.722
832,0.298
833,0.282
834,0.366
835,6.012
836,2.886
837,1.152
838,0.927
839,0.542
840,0.481
841,0.586
842,0.803
843,0.794
844,0.907
845,0.867
846,0.916
847,0.975
848,0.81
849,3.322
850,1.94
851,1.318
852,0.408
853,0.361
854,0.377
855,0.911
856,0.991
857,0.743
858,1.246
859,1.313
860,1.185
861,1.662
862,1.215
863,0.802
864,0.53
865,0.614
866,0.742
867,0.805
868,0.775
869,0.835
870,0.836
871,1.0
872,2.443
873,1.256
874,1.764
875,3.394
876,3.825
877,1.38
878,0.714
879,0.688
880,0.854
881,1.279
882,2.577
883,1.998
884,1.863
885,1.245
886,0.916
887,0.5
888,0.446
889,1.204652
890,1.204652
891,1.204652
892,1.204652
893,1.204652
